id,stat_type,stat_min,stat_max,skill_id,skill_damage_min,skill_damage_max,skill_chance_min,skill_chance_max
1,ATK,4,5,,,,,
2,SPD,14,16,,,,,
3,,,,110001,53,71,14,14
4,ATK,2,7,,,,,
5,SPD,9,20,,,,,
6,ATK,3,5,,,,,
7,,,,110003,49,66,28,28
8,ATK,179,336,,,,,
9,SPD,503,914,,,,,
10,ATK,215,360,,,,,
11,,,,110005,6774,9032,12,12
12,ATK,4,5,,,,,
13,SPD,15,18,,,,,
14,,,,120001,74,98,14,14
15,ATK,2,7,,,,,
16,SPD,10,21,,,,,
17,ATK,3,5,,,,,
18,,,,120003,69,92,28,28
19,ATK,28,54,,,,,
20,SPD,85,156,,,,,
21,ATK,46,77,,,,,
22,,,,120005,544,726,12,12
23,ATK,14,16,,,,,
24,SPD,62,70,,,,,
25,,,,130001,294,392,14,14
26,ATK,7,20,,,,,
27,SPD,41,84,,,,,
28,ATK,11,16,,,,,
29,,,,130003,274,366,28,28
30,ATK,92,173,,,,,
31,SPD,344,625,,,,,
32,ATK,147,247,,,,,
33,,,,130005,2165,2886,12,12
34,ATK,40,43,,,,,
35,SPD,184,205,,,,,
36,,,,140001,920,1227,14,14
37,ATK,21,54,,,,,
38,SPD,122,246,,,,,
39,ATK,32,43,,,,,
40,,,,140003,859,1145,28,28
41,ATK,249,467,,,,,
42,SPD,1016,1843,,,,,
43,ATK,399,666,,,,,
44,,,,140005,6766,9021,12,12
45,ATK,10,11,,,,,
46,SPD,32,37,,,,,
47,,,,110001,169,225,14,14
48,ATK,5,14,,,,,
49,SPD,21,44,,,,,
50,ATK,8,11,,,,,
51,,,,110003,158,210,28,28
52,ATK,63,120,,,,,
53,SPD,178,325,,,,,
54,ATK,102,171,,,,,
55,,,,110005,1245,1660,12,12
56,ATK,10,11,,,,,
57,SPD,34,39,,,,,
58,,,,120001,200,267,14,14
59,ATK,5,14,,,,,
60,SPD,22,46,,,,,
61,ATK,8,11,,,,,
62,,,,120003,187,249,28,28
63,ATK,63,119,,,,,
64,SPD,188,343,,,,,
65,ATK,101,169,,,,,
66,,,,120005,1473,1964,12,12
67,ATK,41,44,,,,,
68,SPD,172,192,,,,,
69,,,,130001,1293,1724,14,14
70,ATK,21,55,,,,,
71,SPD,114,230,,,,,
72,ATK,32,44,,,,,
73,,,,130003,1207,1609,28,28
74,ATK,254,476,,,,,
75,SPD,950,1724,,,,,
76,ATK,407,680,,,,,
77,,,,130005,9503,12670,12,12
78,ATK,97,104,,,,,
79,SPD,445,495,,,,,
80,,,,140001,3182,4243,14,14
81,ATK,51,130,,,,,
82,SPD,296,594,,,,,
83,ATK,77,104,,,,,
84,,,,140003,2970,3960,28,28
85,ATK,602,1126,,,,,
86,SPD,2455,4451,,,,,
87,ATK,964,1608,,,,,
88,,,,140005,23388,31185,12,12
89,ATK,26,28,,,,,
90,SPD,82,92,,,,,
91,,,,110001,549,732,14,14
92,ATK,13,35,,,,,
93,SPD,55,111,,,,,
94,ATK,20,28,,,,,
95,,,,110003,512,683,28,28
96,ATK,162,304,,,,,
97,SPD,455,826,,,,,
98,ATK,260,434,,,,,
99,,,,110005,4037,5383,12,12
100,ATK,24,27,,,,,
101,SPD,83,93,,,,,
102,,,,120001,623,831,14,14
103,ATK,13,34,,,,,
104,SPD,55,112,,,,,
105,ATK,19,27,,,,,
106,,,,120003,581,775,28,28
107,ATK,153,287,,,,,
108,SPD,458,832,,,,,
109,ATK,245,410,,,,,
110,,,,120005,4580,6107,12,12
111,ATK,95,102,,,,,
112,SPD,401,446,,,,,
113,,,,130001,3823,5097,14,14
114,ATK,50,128,,,,,
115,SPD,267,535,,,,,
116,ATK,76,102,,,,,
117,,,,130003,3568,4757,28,28
118,ATK,592,1106,,,,,
119,SPD,2211,4009,,,,,
120,ATK,947,1580,,,,,
121,,,,130005,26756,35675,12,12
122,ATK,205,220,,,,,
123,SPD,942,1048,,,,,
124,,,,140001,7483,9978,14,14
125,ATK,109,275,,,,,
126,SPD,628,1257,,,,,
127,ATK,164,220,,,,,
128,,,,140003,6984,9313,28,28
129,ATK,1275,2381,,,,,
130,SPD,5194,9415,,,,,
131,ATK,2040,3401,,,,,
132,,,,140005,52375,69833,12,12
133,ATK,57,62,,,,,
134,SPD,182,203,,,,,
135,,,,110001,1736,2315,14,14
136,ATK,30,78,,,,,
137,SPD,121,243,,,,,
138,ATK,46,62,,,,,
139,,,,110003,1621,2161,28,28
140,ATK,358,670,,,,,
141,SPD,1004,1821,,,,,
142,ATK,573,957,,,,,
143,,,,110005,12763,17017,12,12
144,ATK,52,57,,,,,
145,SPD,177,198,,,,,
146,,,,120001,1908,2544,14,14
147,ATK,28,71,,,,,
148,SPD,118,238,,,,,
149,ATK,42,57,,,,,
150,,,,120003,1781,2374,28,28
151,ATK,328,614,,,,,
152,SPD,981,1779,,,,,
153,ATK,525,876,,,,,
154,,,,120005,14024,18698,12,12
155,ATK,245,262,,,,,
156,SPD,1029,1144,,,,,
157,,,,130001,9803,13071,14,14
158,ATK,130,327,,,,,
159,SPD,686,1373,,,,,
160,ATK,196,262,,,,,
161,,,,130003,9149,12199,28,28
162,ATK,1519,2837,,,,,
163,SPD,5673,10283,,,,,
164,ATK,2431,4053,,,,,
165,,,,130005,68609,91479,12,12
166,ATK,287,307,,,,,
167,SPD,1316,1463,,,,,
168,,,,140001,9958,13277,14,14
169,ATK,153,384,,,,,
170,SPD,877,1755,,,,,
171,ATK,229,307,,,,,
172,,,,140003,9294,12392,28,28
173,ATK,1781,3325,,,,,
174,SPD,7254,13149,,,,,
175,ATK,2849,4750,,,,,
176,,,,140005,73176,97569,12,12
177,ATK,179,192,,,,,
178,HIT,890,990,,,,,
179,,,,110001,6240,8320,14,14
180,ATK,95,240,,,,,
181,HIT,593,1188,,,,,
182,ATK,143,192,,,,,
183,,,,110003,5824,7765,28,28
184,ATK,1116,2084,,,,,
185,SPD,3124,5664,,,,,
186,ATK,1785,2977,,,,,
187,,,,110005,45855,61140,12,12
188,ATK,152,163,,,,,
189,DEF,201,224,,,,,
190,,,,120001,6353,8470,14,14
191,ATK,81,204,,,,,
192,DEF,134,269,,,,,
193,ATK,122,163,,,,,
194,,,,120003,5929,7906,28,28
195,ATK,946,1768,,,,,
196,SPD,2827,5125,,,,,
197,ATK,1514,2525,,,,,
198,,,,120005,46685,62247,12,12
199,ATK,233,249,,,,,
200,HP,5033,5593,,,,,
201,,,,130001,9699,12932,14,14
202,ATK,124,311,,,,,
203,HP,3355,6712,,,,,
204,ATK,186,249,,,,,
205,,,,130003,9052,12070,28,28
206,ATK,1444,2698,,,,,
207,SPD,5394,9777,,,,,
208,ATK,2311,3853,,,,,
209,,,,130005,71273,95031,12,12
210,ATK,319,341,,,,,
211,HP,4703,5226,,,,,
212,,,,140001,12075,16100,14,14
213,ATK,170,426,,,,,
214,HP,3135,6272,,,,,
215,ATK,255,341,,,,,
216,,,,140003,11270,15026,28,28
217,ATK,1980,3697,,,,,
218,SPD,8064,14617,,,,,
219,ATK,3168,5281,,,,,
220,,,,140005,88733,118310,12,12
221,ATK,241,258,,,,,
222,HIT,1195,1328,,,,,
223,,,,110001,9741,12988,14,14
224,ATK,128,322,,,,,
225,HIT,796,1594,,,,,
226,ATK,193,258,,,,,
227,,,,110003,9092,12122,28,28
228,ATK,1497,2795,,,,,
229,SPD,4191,7598,,,,,
230,ATK,2395,3993,,,,,
231,,,,110005,71585,95447,12,12
232,ATK,205,219,,,,,
233,DEF,270,301,,,,,
234,,,,120001,9933,13245,14,14
235,ATK,109,274,,,,,
236,DEF,180,361,,,,,
237,ATK,164,219,,,,,
238,,,,120003,9271,12362,28,28
239,ATK,1271,2373,,,,,
240,SPD,3796,6882,,,,,
241,ATK,2033,3390,,,,,
242,,,,120005,72997,97330,12,12
243,ATK,313,335,,,,,
244,HP,6767,7519,,,,,
245,,,,130001,15177,20236,14,14
246,ATK,167,418,,,,,
247,HP,4511,9023,,,,,
248,ATK,250,335,,,,,
249,,,,130003,14165,18887,28,28
250,ATK,1942,3626,,,,,
251,SPD,7251,13145,,,,,
252,ATK,3107,5180,,,,,
253,,,,130005,111530,148707,12,12
254,ATK,429,459,,,,,
255,HP,6329,7034,,,,,
256,,,,140001,18927,25236,14,14
257,ATK,229,574,,,,,
258,HP,4219,8440,,,,,
259,ATK,343,459,,,,,
260,,,,140003,17665,23554,28,28
261,ATK,2664,4975,,,,,
262,SPD,10853,19672,,,,,
263,ATK,4263,7107,,,,,
264,,,,140005,139088,185450,12,12
265,ATK,426,456,,,,,
266,HIT,2112,2347,,,,,
267,,,,110001,20198,26931,14,14
268,ATK,227,569,,,,,
269,HIT,1408,2817,,,,,
270,ATK,341,456,,,,,
271,,,,110003,18852,25136,28,28
272,ATK,2645,4939,,,,,
273,SPD,7407,13427,,,,,
274,ATK,4232,7055,,,,,
275,,,,110005,148429,197906,12,12
276,ATK,361,386,,,,,
277,DEF,477,531,,,,,
278,,,,120001,20537,27383,14,14
279,ATK,192,483,,,,,
280,DEF,318,637,,,,,
281,ATK,289,386,,,,,
282,,,,120003,19168,25558,28,28
283,ATK,2242,4186,,,,,
284,SPD,6696,12137,,,,,
285,ATK,3587,5979,,,,,
286,,,,120005,150920,201227,12,12
287,ATK,551,589,,,,,
288,HP,11911,13235,,,,,
289,,,,130001,31315,41753,14,14
290,ATK,294,736,,,,,
291,HP,7940,15882,,,,,
292,ATK,441,589,,,,,
293,,,,130003,29227,38969,28,28
294,ATK,3419,6383,,,,,
295,SPD,12764,23136,,,,,
296,ATK,5470,9118,,,,,
297,,,,130005,230118,306824,12,12
298,ATK,755,806,,,,,
299,HP,11120,12357,,,,,
300,,,,140001,38993,51990,14,14
301,ATK,402,1007,,,,,
302,HP,7413,14828,,,,,
303,ATK,604,806,,,,,
304,,,,140003,36393,48524,28,28
305,ATK,4681,8740,,,,,
306,SPD,19067,34560,,,,,
307,ATK,7490,12485,,,,,
308,,,,140005,286539,382052,12,12
309,ATK,566,605,,,,,
310,HIT,2806,3118,,,,,
311,,,,110001,31669,42226,14,14
312,ATK,302,756,,,,,
313,HIT,1870,3742,,,,,
314,ATK,453,605,,,,,
315,,,,110003,29558,39411,28,28
316,ATK,3514,6561,,,,,
317,SPD,9841,17838,,,,,
318,ATK,5623,9373,,,,,
319,,,,110005,232723,310297,12,12
320,ATK,479,512,,,,,
321,DEF,633,704,,,,,
322,,,,120001,32165,42887,14,14
323,ATK,255,640,,,,,
324,DEF,422,845,,,,,
325,ATK,383,512,,,,,
326,,,,120003,30021,40028,28,28
327,ATK,2974,5553,,,,,
328,SPD,8884,16104,,,,,
329,ATK,4759,7933,,,,,
330,,,,120005,236367,315156,12,12
331,ATK,730,780,,,,,
332,HP,15783,17538,,,,,
333,,,,130001,48992,65322,14,14
334,ATK,389,975,,,,,
335,HP,10522,21046,,,,,
336,ATK,584,780,,,,,
337,,,,130003,45726,60968,28,28
338,ATK,4530,8458,,,,,
339,SPD,16914,30658,,,,,
340,ATK,7249,12082,,,,,
341,,,,130005,360017,480023,12,12
342,ATK,1001,1068,,,,,
343,HP,14742,16381,,,,,
344,,,,140001,60998,81331,14,14
345,ATK,533,1335,,,,,
346,HP,9828,19657,,,,,
347,ATK,800,1068,,,,,
348,,,,140003,56932,75909,28,28
349,ATK,6206,11586,,,,,
350,SPD,25277,45817,,,,,
351,ATK,9930,16552,,,,,
352,,,,140005,448247,597663,12,12
353,HP,59,64,,,,,
354,DEF,3,5,,,,,
355,,,,220000,,,8,8
356,HP,31,80,,,,,
357,DEF,2,6,,,,,
358,HP,47,64,,,,,
359,,,,220000,,,8,8
360,HP,2249,4200,,,,,
361,DEF,127,232,,,,,
362,HP,2699,4500,,,,,
363,,,,220000,,,8,8
364,HP,85,92,,,,,
365,DEF,6,8,,,,,
366,,,,220000,,,8,8
367,HP,45,115,,,,,
368,DEF,4,10,,,,,
369,HP,68,92,,,,,
370,,,,220000,,,8,8
371,HP,530,990,,,,,
372,DEF,37,69,,,,,
373,HP,848,1415,,,,,
374,,,,220000,,,8,8
375,HP,296,317,,,,,
376,DEF,17,20,,,,,
377,,,,220000,,,8,8
378,HP,158,396,,,,,
379,DEF,11,24,,,,,
380,HP,237,317,,,,,
381,,,,220000,,,8,8
382,HP,1837,3431,,,,,
383,DEF,98,178,,,,,
384,HP,2940,4902,,,,,
385,,,,220000,,,8,8
386,HP,530,566,,,,,
387,DEF,37,42,,,,,
388,,,,220000,,,8,8
389,HP,282,708,,,,,
390,DEF,25,51,,,,,
391,HP,424,566,,,,,
392,,,,220000,,,8,8
393,HP,3288,6139,,,,,
394,DEF,207,377,,,,,
395,HP,5261,8769,,,,,
396,,,,220000,,,8,8
397,HP,148,159,,,,,
398,DEF,9,11,,,,,
399,,,,220000,,,8,8
400,HP,79,198,,,,,
401,DEF,6,13,,,,,
402,HP,118,159,,,,,
403,,,,220000,,,8,8
404,HP,919,1716,,,,,
405,DEF,52,95,,,,,
406,HP,1470,2451,,,,,
407,,,,220000,,,8,8
408,HP,184,197,,,,,
409,DEF,14,17,,,,,
410,,,,220000,,,8,8
411,HP,98,246,,,,,
412,DEF,9,20,,,,,
413,HP,147,197,,,,,
414,,,,220000,,,8,8
415,HP,1143,2135,,,,,
416,DEF,81,148,,,,,
417,HP,1829,3050,,,,,
418,,,,220000,,,8,8
419,HP,787,840,,,,,
420,DEF,47,53,,,,,
421,,,,220000,,,8,8
422,HP,419,1050,,,,,
423,DEF,31,63,,,,,
424,HP,629,840,,,,,
425,,,,220000,,,8,8
426,HP,4882,9115,,,,,
427,DEF,260,472,,,,,
428,HP,7812,13021,,,,,
429,,,,220000,,,8,8
430,HP,1241,1325,,,,,
431,DEF,88,99,,,,,
432,,,,220000,,,8,8
433,HP,662,1656,,,,,
434,DEF,58,118,,,,,
435,HP,993,1325,,,,,
436,,,,220000,,,8,8
437,HP,7697,14369,,,,,
438,DEF,486,882,,,,,
439,HP,12316,20527,,,,,
440,,,,220000,,,8,8
441,HP,382,409,,,,,
442,DEF,24,28,,,,,
443,,,,220000,,,8,8
444,HP,204,511,,,,,
445,DEF,16,33,,,,,
446,HP,306,409,,,,,
447,,,,220000,,,8,8
448,HP,2372,4430,,,,,
449,DEF,134,245,,,,,
450,HP,3796,6328,,,,,
451,,,,220000,,,8,8
452,HP,469,501,,,,,
453,DEF,37,42,,,,,
454,,,,220000,,,8,8
455,HP,250,626,,,,,
456,DEF,25,51,,,,,
457,HP,375,501,,,,,
458,,,,220000,,,8,8
459,HP,2908,5430,,,,,
460,DEF,206,375,,,,,
461,HP,4653,7757,,,,,
462,,,,220000,,,8,8
463,HP,2711,2893,,,,,
464,DEF,162,181,,,,,
465,,,,220000,,,8,8
466,HP,1446,3616,,,,,
467,DEF,108,217,,,,,
468,HP,2169,2893,,,,,
469,,,,220000,,,8,8
470,HP,16815,31389,,,,,
471,DEF,896,1626,,,,,
472,HP,26904,44841,,,,,
473,,,,220000,,,8,8
474,HP,2568,2740,,,,,
475,DEF,182,203,,,,,
476,,,,220000,,,8,8
477,HP,1369,3425,,,,,
478,DEF,121,244,,,,,
479,HP,2054,2740,,,,,
480,,,,220000,,,8,8
481,HP,15926,29729,,,,,
482,DEF,1006,1825,,,,,
483,HP,25481,42470,,,,,
484,,,,220000,,,8,8
485,HP,812,867,,,,,
486,DEF,51,58,,,,,
487,,,,220000,,,8,8
488,HP,433,1084,,,,,
489,DEF,34,70,,,,,
490,HP,649,867,,,,,
491,,,,220000,,,8,8
492,HP,5037,9404,,,,,
493,DEF,286,520,,,,,
494,HP,8060,13434,,,,,
495,,,,220000,,,8,8
496,HP,933,996,,,,,
497,DEF,74,83,,,,,
498,,,,220000,,,8,8
499,HP,497,1245,,,,,
500,DEF,49,100,,,,,
501,HP,746,996,,,,,
502,,,,220000,,,8,8
503,HP,5784,10799,,,,,
504,DEF,411,746,,,,,
505,HP,9255,15427,,,,,
506,,,,220000,,,8,8
507,HP,3720,3969,,,,,
508,DEF,223,249,,,,,
509,,,,220000,,,8,8
510,HP,1984,4961,,,,,
511,DEF,148,298,,,,,
512,HP,2976,3969,,,,,
513,,,,220000,,,8,8
514,HP,23065,43056,,,,,
515,DEF,1230,2230,,,,,
516,HP,36904,61509,,,,,
517,,,,220000,,,8,8
518,HP,7720,8235,,,,,
519,DEF,548,610,,,,,
520,,,,220000,,,8,8
521,HP,4117,10294,,,,,
522,DEF,365,732,,,,,
523,HP,6176,8235,,,,,
524,,,,220000,,,8,8
525,HP,47867,89352,,,,,
526,DEF,3025,5485,,,,,
527,HP,76587,127646,,,,,
528,,,,220000,,,8,8
529,HP,1834,1958,,,,,
530,HIT,726,808,,,,,
531,,,,220000,,,8,8
532,HP,978,2447,,,,,
533,HIT,484,969,,,,,
534,HP,1467,1958,,,,,
535,,,,220000,,,8,8
536,HP,11376,21236,,,,,
537,DEF,647,1174,,,,,
538,HP,18201,30337,,,,,
539,,,,220000,,,8,8
540,HP,2055,2193,,,,,
541,DEF,164,183,,,,,
542,,,,220000,,,8,8
543,HP,1096,2741,,,,,
544,DEF,109,220,,,,,
545,HP,1644,2193,,,,,
546,,,,220000,,,8,8
547,HP,12742,23786,,,,,
548,DEF,906,1643,,,,,
549,HP,20387,33980,,,,,
550,,,,220000,,,8,8
551,HP,3423,3652,,,,,
552,SPD,798,888,,,,,
553,,,,220000,,,8,8
554,HP,1825,4565,,,,,
555,SPD,532,1065,,,,,
556,HP,2738,3652,,,,,
557,,,,220000,,,8,8
558,HP,21224,39619,,,,,
559,DEF,1131,2052,,,,,
560,HP,33959,56599,,,,,
561,,,,220000,,,8,8
562,HP,3199,3414,,,,,
563,ATK,312,348,,,,,
564,,,,220000,,,8,8
565,HP,1706,4267,,,,,
566,ATK,208,418,,,,,
567,HP,2559,3414,,,,,
568,,,,220000,,,8,8
569,HP,19839,37034,,,,,
570,DEF,1254,2273,,,,,
571,HP,31742,52905,,,,,
572,,,,220000,,,8,8
